xAccl,yAccl,zAccl,newPosition,time,pcTime
842,-32,611,0,10848894,10943.933010101318
841,-60,603,0,10873898,10969.077110290527
789,-53,661,0,10898907,10993.960857391357
765,-58,695,0,10923907,11019.020795822144
688,-31,753,0,10948912,11043.946981430054
599,-45,808,0,10973920,11069.129943847656
518,-100,853,0,10998924,11094.107866287231
298,0,936,0,11023927,11118.91484260559
160,33,985,0,11048935,11144.152879714966
-78,100,1024,0,11073941,11169.089794158936
-321,61,986,0,11098942,11194.125890731812
-147,-9,952,0,11123948,11219.087839126587
-511,144,917,0,11148953,11244.033813476562
-665,181,897,0,11173960,11269.210815429688
-647,92,803,0,11198963,11294.087886810303
-690,68,773,0,11223971,11319.055795669556
-666,83,700,0,11248975,11344.141721725464
-824,101,661,0,11273979,11369.096994400024
-856,118,657,0,11298982,11394.098997116089
-857,99,629,0,11323982,11419.220924377441
-850,100,629,0,11348994,11444.086790084839
-846,112,648,0,11373995,11469.165802001953
-821,92,665,0,11399003,11494.069814682007
-805,89,705,0,11424011,11519.027948379517
-769,80,734,0,11449020,11544.071912765503
-706,95,791,0,11474024,11569.101810455322
-558,58,844,0,11499034,11594.071865081787
-460,40,881,0,11524038,11619.010925292969
-303,61,950,0,11549042,11643.886804580688
-146,58,968,0,11574045,11668.940782546997
-45,41,998,0,11599047,11693.907022476196
108,-10,980,0,11624051,11719.213724136353
243,7,948,0,11649058,11743.990898132324
351,11,929,0,11674059,11768.949747085571
493,-22,878,0,11699065,11794.258832931519
685,-51,813,0,11724071,11818.987846374512
695,-26,776,0,11749079,11844.125032424927
753,-50,721,0,11774085,11868.891954421997
751,-50,681,0,11799089,11894.002914428711
817,-53,680,0,11824097,11919.293880462646
813,-69,626,0,11849104,11943.947792053223
795,-31,669,0,11874111,11969.227075576782
810,-66,677,0,11899115,11994.061708450317
794,-58,676,0,11924121,12019.072771072388
759,-59,717,0,11949126,12044.102907180786
693,-54,740,0,11974133,12069.29898262024
621,-52,810,0,11999140,12093.991994857788
559,-73,814,0,12024144,12119.279861450195
441,-37,897,0,12049152,12144.015789031982
231,24,952,0,12074158,12169.073820114136
121,2,956,0,12099162,12194.077014923096
-5,20,1024,0,12124166,12219.069957733154
-141,21,962,0,12149170,12244.020938873291
-143,-2,943,0,12174174,12269.000053405762
-331,99,934,0,12199177,12294.30103302002
-483,36,878,0,12224181,12319.100856781006
-555,58,831,0,12249188,12344.275951385498
-599,64,787,0,12274192,12369.021892547607
-679,60,732,0,12299196,12394.03772354126
-736,76,710,0,12324202,12418.892860412598
-808,98,694,0,12349207,12444.058895111084
-815,101,694,0,12374214,12469.08688545227
-808,103,694,0,12399218,12494.070768356323
-836,101,729,0,12424225,12519.012928009033
-763,96,722,0,12449229,12543.97702217102
-784,83,736,0,12474236,12568.934917449951
-643,85,803,0,12499240,12593.955755233765
-587,72,861,0,12524242,12618.942975997925
-602,27,857,0,12549249,12643.942832946777
-440,10,905,0,12574257,12668.941736221313
-197,21,929,0,12599260,12693.861961364746
-214,49,974,0,12624267,12718.979835510254
51,-4,983,0,12649267,12743.971824645996
144,7,978,0,12674273,12769.187927246094
241,-43,934,0,12699273,12794.267892837524
405,-1,936,0,12724280,12819.13685798645
520,-48,893,0,12749287,12844.022750854492
722,-39,823,0,12774295,12869.080781936646
678,-64,775,0,12799302,12894.06967163086
704,-61,769,0,12824309,12918.921947479248
758,-46,723,0,12849317,12944.051027297974
741,-48,701,0,12874324,12969.014883041382
765,-49,709,0,12899331,12994.065999984741
740,-59,691,0,12924339,13018.97406578064
757,-67,683,0,12949346,13044.085025787354
709,-88,701,0,12974353,13069.152116775513
645,-20,782,0,12999364,13094.04969215393
584,-34,817,0,13024364,13119.033813476562
536,-27,858,0,13049372,13144.006967544556
429,-28,896,0,13074379,13168.888807296753
317,-49,905,0,13099386,13194.071769714355
346,-86,902,0,13124394,13219.046831130981
44,24,1026,0,13149401,13244.059801101685
-83,39,990,0,13174408,13269.083976745605
-214,33,974,0,13199416,13294.119834899902
-259,29,954,0,13224419,13319.061994552612
-370,56,943,0,13249419,13344.08187866211
-488,65,889,0,13274427,13369.134902954102
-657,90,874,0,13299434,13394.065856933594
-620,58,805,0,13324441,13418.951988220215
-688,91,765,0,13349444,13444.057941436768
-710,98,761,0,13374445,13468.967914581299
-755,96,751,0,13399453,13494.038820266724
-740,91,732,0,13424460,13518.92900466919
-789,90,741,0,13449467,13544.049978256226
-705,85,768,0,13474474,13568.996906280518
-646,55,785,0,13499482,13594.029903411865
-642,72,804,0,13524485,13619.012832641602
-598,58,849,0,13549485,13644.001722335815
-511,59,898,0,13574493,13669.03305053711
-371,32,933,0,13599496,13693.973064422607
-314,69,965,0,13624496,13719.072103500366
-159,29,964,0,13649504,13744.02904510498
-34,-19,1004,0,13674511,13769.054889678955
127,-1,992,0,13699519,13793.984651565552
188,13,989,0,13724526,13819.01502609253
296,-27,944,0,13749529,13844.019889831543
368,14,924,0,13774537,13869.048833847046
443,-8,891,0,13799540,13894.023895263672
500,-53,815,0,13824548,13919.031858444214
644,-40,807,0,13849555,13944.138050079346
670,-61,775,0,13874558,13968.991994857788
699,-46,753,0,13899566,13994.083881378174
704,-42,756,0,13924573,14019.017934799194
703,-54,740,0,13949581,14044.067859649658
748,-31,787,0,13974588,14069.015741348267
617,-48,764,0,13999595,14094.139814376831
580,-45,810,0,14024603,14119.115114212036
587,-11,804,0,14049610,14144.139051437378
497,-61,837,0,14074617,14169.023036956787
407,-31,894,0,14099620,14194.03076171875
354,-27,930,0,14124621,14218.981981277466
165,45,1007,0,14149629,14244.064092636108
108,19,990,0,14174636,14269.019842147827
65,0,981,0,14199639,14294.02494430542
98,-49,980,0,14224642,14319.044828414917
-270,55,972,0,14249650,14344.05779838562
-331,36,953,0,14274650,14368.963956832886
-325,-334,857,0,14299658,14395.025968551636
-512,46,880,0,14324661,14419.005870819092
-605,77,876,0,14349664,14444.07582
-579,66,818,0,14374665,14469.022035598755
-693,60,779,0,14399673,14494.053840637207
-673,58,794,0,14424676,14519.038915634155
-737,108,776,0,14449676,14544.98005
-674,87,869,0,14474679,14569.061994552612
-674,79,791,0,14499679,14594.089031219482
-677,76,800,0,14524687,14619.102001190186
-592,73,845,0,14549695,14644.081830978394
-592,65,856,0,14574702,14669.045686721802
-443,38,915,0,14599709,14694.056034088135
-389,38,914,0,14624712,14719.090938568115
-270,30,962,0,14649720,14744.059801101685
-233,28,990,0,14674727,14769.088745117188
-47,-13,990,0,14699730,14794.060707092285
2,31,1013,0,14724731,14819.072723388672
176,-15,971,0,14749738,14844.993829727173
264,6,974,0,14774738,14869.048833847046
406,-13,944,0,14799745,14894.999742507935
358,-30,908,0,14824753,14919.926881790161
528,-24,879,0,14849760,14944.96488571167
685,-52,848,0,14874768,14970.00503540039
603,-35,822,0,14899775,14994.948863983154
632,-43,807,0,14924778,15019.978046417236
665,-54,790,0,14949787,15044.972896575928
652,-37,789,0,14974791,15069.93579864502
674,-45,809,0,14999800,15094.941854476929
600,-5,815,0,15024805,15119.159698486328
627,-100,812,0,15049811,15144.972801208496
505,-22,867,0,15074817,15169.971942901611
475,-18,880,0,15099821,15194.949865341187
440,-66,909,0,15124828,15219.955921173096
321,-42,939,0,15149831,15244.967937469482
226,-28,961,0,15174836,15269.929885864258
103,17,992,0,15199840,15294.087886810303
50,-14,977,0,15224846,15319.999933242798
56,-4,984,0,15249850,15344.071865081787
-138,18,980,0,15274854,15370.000839233398
-346,41,961,0,15299858,15394.995927810669
-381,57,932,0,15324861,15420.048952102661
